URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
"https://a.applovin.com/3.0/ad?dnt=false&sc=&dy=812&webkit_linked=1&platform=ios&accept=video&carrier=AT%26T&locale=en_US&sdk_version=4.6.1&preloading=true&network=wifi&sim=0&volume=37&si=0&brand=Apple&plugin_version=tapdaq_6.0.1&model=iPhone&idfa=E00218B0-F0BB-45CC-924B-8797938F9F06&format=json&revision=iPhone10,6&li=0&orientation_lock=portrait&os=11.2.5&country_code=US&api_did=103feb18ef69416b36&tz_offset=-7&zone_id=inter_videoa_direct&ia=1527992882855.173&build=74&vz=d4895b2f47b5a45f&sdk_key=e3ydsql7Lhoo2dvRqDmyWf_CVxRUQuR4yOhoCQwX7iKAKEb8RM5y149W0b_RTRVPqCC1c6Zlpuw77VGTtLVuQe&app_version=531&dx=375",COMPLETE,200,https,GET,application/json,198.18.72.253/198.18.72.253,0,a.applovin.com/104.68.116.141,443,,02 Jun 2018 19:28:38,02 Jun 2018 19:28:38,02 Jun 2018 19:28:38,02 Jun 2018 19:28:38,262,,,,2,42,218,30.828125,379.39453,174.2461,,777,,,196,7298,,72.9%
https://assets.applovin.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,assets.applovin.com/23.217.104.181,443,,02 Jun 2018 19:28:39,,,02 Jun 2018 19:29:11,31890,3,26,,,,,2.6259766,,,,180,541,,0,85057,,
https://e.crashlytics.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,e.crashlytics.com/54.221.196.94,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:28:40,,,,,5,90,282,,,,,,,,,,,,,,
https://pdn.applovin.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,pdn.applovin.com/23.217.104.181,443,,02 Jun 2018 19:28:40,,,02 Jun 2018 19:29:12,32122,27,41,,,,,0.17285156,,,,174,609,,0,4910,,
https://cdn-lb.vungle.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,cdn-lb.vungle.com/23.195.77.101,443,,02 Jun 2018 19:28:40,,,02 Jun 2018 19:29:22,41837,27,13,,,,,245.44922,,,,244,1203,,0,10513867,,
https://e.crashlytics.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,e.crashlytics.com/54.221.196.94,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:28:40,,,,,6,64,237,,,,,,,,,,,,,,
"https://a.applovin.com/3.0/ad?dnt=false&sc=&dy=812&webkit_linked=1&platform=ios&accept=video&carrier=AT%26T&locale=en_US&sdk_version=4.6.1&preloading=true&network=wifi&sim=0&volume=37&si=0&brand=Apple&plugin_version=tapdaq_6.0.1&model=iPhone&idfa=E00218B0-F0BB-45CC-924B-8797938F9F06&format=json&revision=iPhone10,6&li=0&orientation_lock=portrait&os=11.2.5&country_code=US&api_did=103feb18ef69416b36&tz_offset=-7&zone_id=banner_regular_direct&ia=1527992882855.173&build=74&vz=d4895b2f47b5a45f&sdk_key=e3ydsql7Lhoo2dvRqDmyWf_CVxRUQuR4yOhoCQwX7iKAKEb8RM5y149W0b_RTRVPqCC1c6Zlpuw77VGTtLVuQe&app_version=531&dx=375",COMPLETE,200,https,GET,application/json,198.18.72.253/198.18.72.253,0,a.applovin.com/104.68.116.141,443,,02 Jun 2018 19:28:41,02 Jun 2018 19:28:41,02 Jun 2018 19:28:41,02 Jun 2018 19:28:41,67,,,,2,13,52,25.404297,380.3711,72.41504,,779,,,195,769,,70.8%
https://img.applovin.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,img.applovin.com/23.217.104.181,443,,02 Jun 2018 19:28:41,,,02 Jun 2018 19:29:13,31997,11,29,,,,,0.16796875,,,,174,614,,0,4729,,
"https://a.applovin.com/3.0/ad?dnt=false&sc=&dy=812&webkit_linked=1&platform=ios&accept=video&carrier=AT%26T&locale=en_US&sdk_version=4.6.1&preloading=true&network=wifi&sim=0&volume=37&si=0&brand=Apple&plugin_version=tapdaq_6.0.1&model=iPhone&idfa=E00218B0-F0BB-45CC-924B-8797938F9F06&format=json&revision=iPhone10,6&li=0&orientation_lock=portrait&os=11.2.5&country_code=US&api_did=103feb18ef69416b36&tz_offset=-7&zone_id=mrec_regular_direct&ia=1527992882855.173&build=74&vz=d4895b2f47b5a45f&sdk_key=e3ydsql7Lhoo2dvRqDmyWf_CVxRUQuR4yOhoCQwX7iKAKEb8RM5y149W0b_RTRVPqCC1c6Zlpuw77VGTtLVuQe&app_version=531&dx=375",COMPLETE,200,https,GET,application/json,198.18.72.253/198.18.72.253,0,a.applovin.com/104.68.116.141,443,,02 Jun 2018 19:28:41,02 Jun 2018 19:28:41,02 Jun 2018 19:28:41,02 Jun 2018 19:28:41,73,,,,2,14,57,23.20996,379.39453,66.82422,,777,,,195,763,,70.8%
"https://a.applovin.com/nad?dnt=false&sc=&dy=812&webkit_linked=1&platform=ios&accept=video&carrier=AT%26T&locale=en_US&sdk_version=4.6.1&preloading=true&network=wifi&sim=0&volume=37&si=0&brand=Apple&plugin_version=tapdaq_6.0.1&model=iPhone&idfa=E00218B0-F0BB-45CC-924B-8797938F9F06&format=json&revision=iPhone10,6&li=0&orientation_lock=portrait&os=11.2.5&country_code=US&api_did=103feb18ef69416b36&tz_offset=-7&zone_id=native_native_direct&ia=1527992882855.173&build=74&vz=d4895b2f47b5a45f&sdk_key=e3ydsql7Lhoo2dvRqDmyWf_CVxRUQuR4yOhoCQwX7iKAKEb8RM5y149W0b_RTRVPqCC1c6Zlpuw77VGTtLVuQe&app_version=531&dx=375",COMPLETE,204,https,GET,,198.18.72.253/198.18.72.253,0,a.applovin.com/104.68.116.141,443,,02 Jun 2018 19:28:41,02 Jun 2018 19:28:41,02 Jun 2018 19:28:41,02 Jun 2018 19:28:42,51,,,,2,10,39,16.811523,378.41797,10.058594,,775,,,103,,,
